X	Sample_names	Tree_name	Sample_id	Height	Diameter	Time
NVABM-0163-H_S135_MERGED.fastq.gz	NVABM-0163-H_S135	nvabm0163	135	High	40	10
NVABM-0397_S138_MERGED.fastq.gz	NVABM-0397_S138	nvabm0397	138	NA	35	10
NVABM0216_S136_MERGED.fastq.gz	NVABM0216_S136	nvabm0216	136	NA	30	15
NVABM0244-M_S137_MERGED.fastq.gz	NVABM0244-M_S137	nvabm0244	137	Middle	50	10
O20-X-B_S139_MERGED.fastq.gz	O20-X-B_S139	O20-X	139	Low	NA	NA
O20-X-H_S140_MERGED.fastq.gz	O20-X-H_S140	O20-X	140	High	NA	NA
O20-X-M_S141_MERGED.fastq.gz	O20-X-M_S141	O20-X	141	Middle	NA	NA
O21-007-B_S142_MERGED.fastq.gz	O21-007-B_S142	O21-007	142	Low	25	0
O21-007-H_S143_MERGED.fastq.gz	O21-007-H_S143	O21-007	143	High	25	0
O21-007-M_S144_MERGED.fastq.gz	O21-007-M_S144	O21-007	144	Middle	25	0
O24-003-B_S145_MERGED.fastq.gz	O24-003-B_S145	O24-003	145	Low	75	0
O24-003-H_S146_MERGED.fastq.gz	O24-003-H_S146	O24-003	146	High	75	0
O24-003-M_S147_MERGED.fastq.gz	O24-003-M_S147	O24-003	147	Middle	75	0
O26-004-B_S148_MERGED.fastq.gz	O26-004-B_S148	O26-004	148	Low	30,4	0
O26-004-H_S149_MERGED.fastq.gz	O26-004-H_S149	O26-004	149	High	30,4	0
O26-004-M_S150_MERGED.fastq.gz	O26-004-M_S150	O26-004	150	Middle	30,4	0
O27-012_S151_MERGED.fastq.gz	O27-012_S151	O27-012	151	NA	69,5	15
O9-005-B_S152_MERGED.fastq.gz	O9-005-B_S152	C9-005	152	Low	39	5
P19-023-M_S153_MERGED.fastq.gz	P19-023-M_S153	P19-023	153	Middle	18,4	NA
P27-015-M_S154_MERGED.fastq.gz	P27-015-M_S154	P27-015	154	Middle	96	5
P27-ABM001_S155_MERGED.fastq.gz	P27-ABM001_S155	P27-abm001	155	NA	25	5
Q27-ABM003-B_S156_MERGED.fastq.gz	Q27-ABM003-B_S156	Q27-abm003	156	Low	10	5
R25-ABMX_S157_MERGED.fastq.gz	R25-ABMX_S157	R25-abm-X	157	NA	-	5
R28-008-B_S158_MERGED.fastq.gz	R28-008-B_S158	R28-008	158	Low	37,2	0
R28-008-H_S159_MERGED.fastq.gz	R28-008-H_S159	R28-008	159	High	37,2	0
R28-008-M_S160_MERGED.fastq.gz	R28-008-M_S160	R28-008	160	Middle	37,2	0
T28-011_S161_MERGED.fastq.gz	T28-011_S161	T28-011	161	NA	66,8	10
T28-ABM602-B_S162_MERGED.fastq.gz	T28-ABM602-B_S162	T28-abm602	162	Low	64	5
U27-ABM002_S163_MERGED.fastq.gz	U27-ABM002_S163	U27-abm002	163	NA	11	5
W25-ABMX_S164_MERGED.fastq.gz	W25-ABMX_S164	W25-abm-X	164	NA	40	5
W26-001-B_S165_MERGED.fastq.gz	W26-001-B_S165	W26-001	165	Low	71,7	0
W26-001-H_S166_MERGED.fastq.gz	W26-001-H_S166	W26-001	166	High	71,7	0
W26-001-M_S167_MERGED.fastq.gz	W26-001-M_S167	W26-001	167	Middle	71,7	0
W30-006_S168_MERGED.fastq.gz	W30-006_S168	W30-006	168	NA	59,6	10
W9-025-M_S169_MERGED.fastq.gz	W9-025-M_S169	W29-025	169	Middle	71,5	NA
X24-009-B_S170_MERGED.fastq.gz	X24-009-B_S170	X24-009	170	Low	38,8	0
X24-009-H_S171_MERGED.fastq.gz	X24-009-H_S171	X24-009	171	High	38,8	0
X24-009-M_S172_MERGED.fastq.gz	X24-009-M_S172	X24-009	172	Middle	38,8	0
X24-010_S173_MERGED.fastq.gz	X24-010_S173	X24-010	173	NA	37,8	5
X29-004-B_S174_MERGED.fastq.gz	X29-004-B_S174	X29-004	174	Low	52,7	10
X29-004-H_S175_MERGED.fastq.gz	X29-004-H_S175	X29-004	175	High	52,7	10
X29-004-M_S176_MERGED.fastq.gz	X29-004-M_S176	X29-004	176	Middle	52,7	10
Y21-ABM484-H_S177_MERGED.fastq.gz	Y21-ABM484-H_S177	Y31-abm484	177	High	20	5
Y28-002-B_S178_MERGED.fastq.gz	Y28-002-B_S178	Y28-002	178	Low	63,6	NA
Y28-002-H_S179_MERGED.fastq.gz	Y28-002-H_S179	Y28-002	179	High	63,6	NA
Y28-002-M_S180_MERGED.fastq.gz	Y28-002-M_S180	Y28-002	180	Middle	63,6	NA
Y29-007-B_S181_MERGED.fastq.gz	Y29-007-B_S181	Y29-007	181	Low	68,6	0
Y29-007-H_S182_MERGED.fastq.gz	Y29-007-H_S182	Y29-007	182	High	68,6	0
Y29-007-M_S183_MERGED.fastq.gz	Y29-007-M_S183	Y29-007	183	Middle	68,6	0
Y31-ABM484-B_S184_MERGED.fastq.gz	Y31-ABM484-B_S184	Y31-abm484	184	Low	20	5
Z29-001-H_S185_MERGED.fastq.gz	Z29-001-H_S185	Z29-001	185	High	35,2	5
Z30-002_S186_MERGED.fastq.gz	Z30-002_S186	Z30-002	186	NA	43,4	15
Z30-ABM560-M_S187_MERGED.fastq.gz	Z30-ABM560-M_S187	Z30-abm560	187	Middle	11	5
