"","Sample_names","Tree_name","Sample_id","Hauteur","Neg_Control","Numéro.photo","Category","Id_terrain","Id_echantillons","date_releve_diam","Diametre","Remarque","Time","Time_fac"
"D17-011_S77_MERGED.fastq.gz","D17-011_S77","D17-011",77,NA,FALSE,"79","Chandelier T+5","D17-011","D17-011","08/07/2014","59,8","",5,"5"
"D18-003-B_S78_MERGED.fastq.gz","D18-003-B_S78","D18-003",78,"B",FALSE,"80","Chandelier T+5","D18-003","D18-003","08/07/2014","45,5","",5,"5"
"D18-003-H_S79_MERGED.fastq.gz","D18-003-H_S79","D18-003",79,"H",FALSE,"80","Chandelier T+5","D18-003","D18-003","08/07/2014","45,5","",5,"5"
"D18-003-M_S80_MERGED.fastq.gz","D18-003-M_S80","D18-003",80,"M",FALSE,"80","Chandelier T+5","D18-003","D18-003","08/07/2014","45,5","",5,"5"
"D22-NVABM1_S81_MERGED.fastq.gz","D22-NVABM1_S81","D22-nvabm-1",81,NA,FALSE,"121","Chablis T+5","D22-nvabm-1","D22-nvabm-1","14/06/2018","30","Présence de Schizophyllum commune",5,"5"
"D61-010-B_S82_MERGED.fastq.gz","D61-010-B_S82","DG1-010",82,"B",FALSE,"111","Chandelier T+15","DG1-010","DG1-010","14/09/2005","36,3","",15,"15"
"D9-027-B_S83_MERGED.fastq.gz","D9-027-B_S83","D9-027",83,"B",FALSE,"72","H. Petit bois","D9-027","D9-027","07/06/2012","18,9","",NA,NA
"D9-027-H_S84_MERGED.fastq.gz","D9-027-H_S84","D9-027",84,"H",FALSE,"72","H. Petit bois","D9-027","D9-027","07/06/2012","18,9","",NA,NA
"D9-027-M_S85_MERGED.fastq.gz","D9-027-M_S85","D9-027",85,"M",FALSE,"72","H. Petit bois","D9-027","D9-027","07/06/2012","18,9","",NA,NA
"DBM-ABM-001_S86_MERGED.fastq.gz","DBM-ABM-001_S86","DB1abm001",86,NA,FALSE,"112","Chablis T+15","DB1abm001","DB1abm001","22/03/2000","40","",15,"15"
